Time(s),Temp(F),Temp(C)
1631571981,73.4,23.0
1631571982,73.4,23.0
1631571983,73.4,23.0
1631571984,73.4,23.0
1631571985,73.4,23.0
1631571986,73.4,23.0
1631571987,73.2875,22.9375
1631571988,73.2875,22.9375
1631571989,73.4,23.0
1631571990,73.2875,22.9375
1631571991,73.4,23.0
1631571992,73.4,23.0
1631571993,73.2875,22.9375
1631571994,73.2875,22.9375
1631571995,73.4,23.0
1631571996,73.4,23.0
1631571997,73.2875,22.9375
1631571998,73.2875,22.9375
1631571999,73.4,23.0
1631572000,73.2875,22.9375
1631572001,73.4,23.0
1631572002,73.4,23.0
1631572003,73.4,23.0
1631572004,73.2875,22.9375
1631572005,73.2875,22.9375
1631572006,73.4,23.0
1631572007,73.4,23.0
1631572008,73.4,23.0
1631572009,73.2875,22.9375
1631572010,73.2875,22.9375
1631572011,73.2875,22.9375
1631572012,73.2875,22.9375
1631572013,73.2875,22.9375
1631572014,73.4,23.0
1631572015,73.4,23.0
1631572016,73.2875,22.9375
1631572017,73.2875,22.9375
1631572018,73.2875,22.9375
1631572019,73.2875,22.9375
1631572020,73.2875,22.9375
1631572021,73.4,23.0
1631572022,73.4,23.0
1631572023,73.2875,22.9375
1631572024,73.2875,22.9375
1631572025,73.2875,22.9375
1631572026,73.2875,22.9375
1631572027,73.2875,22.9375
1631572028,73.2875,22.9375
1631572029,73.2875,22.9375
1631572030,73.2875,22.9375
1631572031,73.2875,22.9375
1631572032,73.2875,22.9375
1631572033,73.4,23.0
1631572034,73.2875,22.9375
1631572035,73.2875,22.9375
1631572036,73.2875,22.9375
1631572037,73.4,23.0
1631572038,73.4,23.0
1631572039,73.4,23.0
1631572040,73.4,23.0
1631572041,73.4,23.0
1631572042,73.2875,22.9375
1631572043,73.4,23.0
1631572044,73.4,23.0
1631572045,73.4,23.0
1631572046,73.2875,22.9375
1631572047,73.2875,22.9375
1631572048,73.4,23.0
1631572049,73.2875,22.9375
1631572050,73.4,23.0
1631572051,73.2875,22.9375
1631572052,73.4,23.0
